url,ip,name
atividades.trt7.jus.br,186.232.247.80,atividades
atr.trt7.jus.br,186.232.247.105,atr
auth.trt7.jus.br,186.232.247.80,auth
bancodeautoridades.trt7.jus.br,186.232.247.80,bancodeautoridades
bibliotecadigital.trt7.jus.br,186.232.247.80,bibliotecadigital
cas.trt7.jus.br,186.232.247.80,cas
centraldeservicos.trt7.jus.br,186.232.247.80,centraldeservicos
ead.trt7.jus.br,186.232.247.115,ead
ecarta.trt7.jus.br,186.232.247.80,ecarta
extranet.trt7.jus.br,186.232.247.80,extranet
garimpo.trt7.jus.br,186.232.247.80,garimpo
homologacao-pje-extrator-2grau.trt7.jus.br,186.232.247.21,homologacao-pje-extrator-2grau
homologacao-auth.trt7.jus.br,186.232.247.98,homologacao-auth
jira.trt7.jus.br,186.232.247.80,jira
midias.trt7.jus.br,186.232.247.80,midias
oss.trt7.jus.br,186.232.247.80,oss
panico.trt7.jus.br,186.232.247.80,panico
pje-extrator-1grau.trt7.jus.br,186.232.247.22,pje-extrator-1grau
portaldeservicos.trt7.jus.br,186.232.247.80,portaldeservicos
portaldoservidor.trt7.jus.br,186.232.247.77,portaldoservidor
sgm.trt7.jus.br,186.232.247.80,sgm
sicond.trt7.jus.br,186.232.247.80,sicond
sigep.trt7.jus.br,186.232.247.80,sigep
sigs.trt7.jus.br,186.232.247.76,sigs
silc.trt7.jus.br,186.232.247.80,silc
trabalhoremoto.trt7.jus.br,186.232.247.105,trabalhoremoto
tsaweb.trt7.jus.br,186.232.247.80,tsaweb
vpn.trt7.jus.br,186.232.247.13,vpn
www2.trt7.jus.br,186.232.247.77,www2
www3.trt7.jus.br,186.232.247.77,www3
homologacao-pje.trt7.jus.br,186.232.247.81,homologacao-pje